,title,director,rating,revenue_millions
0,Thor,Kenneth Branagh,7.0,181.02
1,Harry Potter and the Deathly Hallows: Part 2,David Yates,8.1,380.96
2,"Crazy, Stupid, Love.",Glenn Ficarra,7.4,84.24
3,Drive,Nicolas Winding Refn,7.8,35.05
4,Warrior,Gavin O'Connor,8.2,13.65
5,Captain America: The First Avenger,Joe Johnston,6.9,176.64
6,X: First Class,Matthew Vaughn,7.8,146.41
7,Bridesmaids,Paul Feig,6.8,169.08
8,The Girl with the Dragon Tattoo,David Fincher,7.8,102.52
9,The Intouchables,Olivier Nakache,8.6,13.18
